Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Hour,minute,second,Month,Day,Year
750-67-8428,0,2,0,0,3,0.7181601426065471,0.5099302037590051,0.9196068488798472,548.9715,2019-01-05,1900-01-01 13:08:00,2,522.83,4.761904762,0.9196068488798472,1.238443414813962,13,8,0,1,5,2019
226-31-3081,2,1,1,0,0,-1.5253031933114591,-0.1745398684007332,-0.9877295584981624,80.22,2019-03-08,1900-01-01 10:29:00,0,76.4,4.761904762,-0.9877295584981624,1.5295268103890953,10,29,0,3,8,2019
631-41-3108,0,2,1,0,4,-0.3527811165524271,0.5099302037590051,0.07144605414678146,340.5255,2019-03-03,1900-01-01 13:23:00,1,324.31,4.761904762,0.07144605414678146,0.24875986985850929,13,23,0,3,3,2019
123-19-1176,0,2,0,0,3,0.0962136497169736,0.8521652398388743,0.6757798462835544,489.048,2019-01-27,1900-01-01 20:33:00,2,465.76,4.761904762,0.6757798462835544,0.8309266610087758,20,33,0,1,27,2019
373-73-7910,0,2,0,0,5,1.1569590647302173,0.5099302037590051,1.2671254819827464,634.3785,2019-02-08,1900-01-01 10:37:00,2,604.17,4.761904762,1.2671254819827464,-0.9737903915570507,10,37,0,2,8,2019
699-14-3026,2,1,0,0,0,1.1222176698632829,0.5099302037590051,1.239611097950503,627.6165,2019-03-25,1900-01-01 18:30:00,2,597.73,4.761904762,1.239611097950503,-1.6723905409373707,18,30,0,3,25,2019
355-53-5943,0,2,0,0,0,0.4972501861157152,0.16769516767913598,0.45053787016866814,433.692,2019-02-25,1900-01-01 14:36:00,2,413.04,4.761904762,0.45053787016866814,-0.6827069959819174,14,36,0,2,25,2019
315-22-5665,2,1,0,0,4,0.675488646737378,1.5366353119986127,1.8286496269140724,772.38,2019-02-24,1900-01-01 11:38:00,2,735.6,4.761904762,1.8286496269140724,0.598059944548669,11,38,0,2,24,2019
665-32-9167,0,2,0,0,3,-0.7330483408024578,-1.2012449766403408,-1.004306547635601,76.146,2019-01-10,1900-01-01 17:15:00,1,72.52,4.761904762,-1.004306547635601,0.13232651162845588,17,15,0,1,10,2019
692-92-5582,1,0,0,0,2,-0.03142321403328479,-0.8590099405604715,-0.6112439186035535,172.746,2019-02-20,1900-01-01 13:27:00,1,164.52,4.761904762,-0.6112439186035535,-0.6244903168668905,13,27,0,2,20,2019
351-62-0822,1,0,0,0,1,-1.5555131018914021,-0.5167749044806024,-1.0666838778950347,60.816,2019-02-06,1900-01-01 18:07:00,2,57.92,4.761904762,-1.0666838778950347,-1.439523824477264,18,7,0,2,6,2019
529-56-3974,1,0,0,0,0,-1.1389939873454398,-0.5167749044806024,-0.8781847127548831,107.142,2019-03-09,1900-01-01 17:03:00,0,102.04,4.761904762,-0.8781847127548831,-0.10054020483165095,17,3,0,3,9,2019
365-64-0515,0,2,0,0,0,-0.3293684374029712,-0.1745398684007332,-0.31119187037615487,246.4875,2019-02-12,1900-01-01 10:25:00,2,234.75,4.761904762,-0.31119187037615487,0.07410983251342891,10,25,0,2,12,2019
252-56-2699,0,2,0,0,2,-0.4713550077287028,1.5366353119986127,0.5311157091202376,453.495,2019-02-07,1900-01-01 16:48:00,2,431.9,4.761904762,0.5311157091202376,0.7144933027787219,16,48,0,2,7,2019
829-34-3910,0,2,0,0,3,0.5931666458570335,1.5366353119986127,1.735510873513,749.49,2019-03-29,1900-01-01 19:21:00,0,713.8,4.761904762,1.735510873513,-0.7409236750969439,19,21,0,3,29,2019
299-46-1805,1,0,0,0,5,1.4367783429519378,0.16769516767913598,1.0883247099719726,590.436,2019-01-15,1900-01-01 16:19:00,0,562.32,4.761904762,1.0883247099719726,-1.439523824477264,16,19,0,1,15,2019
656-95-9349,0,2,0,0,3,0.5006488008309589,0.5099302037590051,0.7473428792866715,506.6355,2019-03-11,1900-01-01 11:03:00,1,482.51,4.761904762,0.7473428792866715,-1.3813071453622374,11,3,0,3,11,2019
765-26-6951,0,2,0,0,5,0.6396143802986958,0.16769516767913598,0.5471800078719824,457.443,2019-01-01,1900-01-01 10:39:00,1,435.66,4.761904762,0.5471800078719824,-0.04232352571662398,10,39,0,1,1,2019
